index,Reward,Episode Length,Action
0,[800.39856],7836,[0.17521695 0.16143441 0.1676876  0.16092394 0.16985707 0.16488004]
1,[-255.8006],6203,[0.16895051 0.17072384 0.15879413 0.16572626 0.16669354 0.16911172]
2,[800.59735],7533,[0.16978627 0.16660029 0.16925528 0.16819328 0.15651135 0.16965352]
3,[800.00085],7288,[0.16410538 0.16012623 0.16931943 0.16835895 0.17892426 0.15916575]
4,[800.0987],13475,[0.16074212 0.16883117 0.16437848 0.16697588 0.17105751 0.16801484]
5,[800.19806],12018,[0.16691629 0.16783159 0.1640872  0.16250624 0.16674988 0.1719088 ]
6,[800.2974],9834,[0.17368314 0.16483628 0.169819   0.16493797 0.16575147 0.16097214]
7,[800.49976],8591,[0.17448493 0.16040042 0.16726807 0.16528926 0.17192411 0.16063322]
8,[800.497],8598,[0.1634101  0.16445685 0.17143522 0.16794603 0.16759712 0.16515469]
9,[800.1984],8810,[0.16231555 0.16992054 0.16572077 0.16753689 0.16640182 0.16810443]
10,[-294.90125],5874,[0.16768812 0.16683691 0.16836908 0.16751788 0.16581546 0.16377256]
11,[800.29803],14207,[0.16041388 0.1666784  0.16576336 0.17076089 0.16583374 0.17054973]
12,[800.2998],7620,[0.17375328 0.16614173 0.17112861 0.16430446 0.16062992 0.16404199]
13,[799.99603],10022,[0.16314109 0.16553582 0.16773099 0.16583516 0.16832967 0.16942726]
14,[800.59875],7412,[0.15879655 0.17147868 0.17269293 0.16041554 0.17039935 0.16621695]
15,[800.09906],7267,[0.1677446  0.17407458 0.16733177 0.16416678 0.16182744 0.16485482]
16,[800.39795],10462,[0.16870579 0.16421334 0.16660294 0.16583827 0.16277958 0.17186006]
17,[800.4997],6069,[0.16526611 0.16048772 0.16378316 0.16477179 0.17745922 0.168232  ]
18,[800.29877],8096,[0.17131917 0.1604496  0.16674901 0.16773715 0.17341897 0.16032609]
19,[800.39996],6521,[0.16669223 0.15887134 0.16853243 0.16408526 0.16837908 0.17343966]
20,[799.99744],10411,[0.16588224 0.16386514 0.16761118 0.17126117 0.16501777 0.1663625 ]
21,[800.8],5308,[0.17332329 0.15975885 0.16974378 0.17030897 0.16578749 0.16107762]
22,[-366.299],6681,[0.168837   0.16150277 0.17272863 0.16629247 0.16524472 0.1653944 ]
23,[800.19775],6295,[0.16266878 0.16219222 0.1655282  0.17728356 0.16791104 0.1644162 ]
24,[-426.9995],3353,[0.16075157 0.1691023  0.17297942 0.16790933 0.15985684 0.16940054]
25,[800.10095],13901,[0.16322567 0.1675419  0.16437666 0.16818934 0.16883677 0.16782965]
26,[800.0978],12297,[0.17061072 0.16589412 0.16630072 0.16768317 0.17061072 0.15890054]
27,[800.0988],9782,[0.16663259 0.17266408 0.16039665 0.16264568 0.16969945 0.16796156]
28,[-202.5039],5665,[0.16646072 0.17811121 0.16275375 0.16875552 0.16557811 0.15834069]
29,[-328.90234],7928,[0.16334511 0.16675076 0.16498486 0.165111   0.17066095 0.16914733]
30,[801.199],6200,[0.16177419 0.175      0.16435484 0.16016129 0.16241935 0.17629032]
31,[-338.6001],7535,[0.16854678 0.15965494 0.16960849 0.16960849 0.16124751 0.17133378]
32,[801.09906],3109,[0.17594082 0.16403988 0.15953683 0.15406883 0.18205211 0.16436153]
33,[800.1991],10546,[0.17257728 0.16698274 0.16660345 0.16356913 0.16812061 0.16214679]
34,[799.99786],7825,[0.16038339 0.16549521 0.16945687 0.16792332 0.16715655 0.16958466]
35,[800.09674],11646,[0.16469174 0.16958612 0.16743946 0.16597974 0.16417654 0.1681264 ]
36,[800.09674],7780,[0.15745501 0.16478149 0.17172237 0.16362468 0.17275064 0.16966581]
37,[800.5978],10594,[0.1698131  0.17330564 0.16046819 0.16499906 0.16490466 0.16650934]
38,[800.0995],8037,[0.16274729 0.16959064 0.16536021 0.16461366 0.16896852 0.16871967]
39,[-299.79993],5268,[0.17274108 0.16818527 0.17255125 0.16343964 0.15698557 0.16609719]
40,[800.49915],10330,[0.17018393 0.17028074 0.16321394 0.16021297 0.16689255 0.16921588]
41,[800.2978],7543,[0.16876574 0.16518627 0.17115206 0.16213708 0.17035662 0.16240223]
42,[800.6968],12948,[0.1686747  0.17354032 0.16589435 0.15871177 0.16427247 0.16890639]
43,[-253.30219],7233,[0.16853311 0.16936264 0.17019217 0.16480022 0.16009954 0.1670123 ]
44,[799.9987],7570,[0.16380449 0.1661823  0.15891678 0.17265522 0.17120211 0.1672391 ]
45,[799.9982],13932,[0.16702555 0.16551823 0.16853287 0.16458513 0.16559001 0.16874821]
46,[-277.20117],4996,[0.16633307 0.16393114 0.1611289  0.16953563 0.17033627 0.16873499]
47,[800.09784],13773,[0.16851812 0.16866333 0.15944239 0.16481522 0.16975241 0.16880854]
48,[800.19666],15955,[0.16013789 0.1706675  0.16809777 0.16176747 0.16841116 0.17091821]
49,[800.1985],5893,[0.16731716 0.16545053 0.16816562 0.16494146 0.16511115 0.16901408]
