#{"t_start": 1563633476.40666, "env_id": "CarRacing-v1"}
r,l,t
2864.793333,1000,32.080143
4531.46,1000,41.377597
4642.606667,1000,50.417398
2410.193333,423,54.084646
2226.94,145,55.324336
3161.973333,182,57.170397
1034.704444,277,59.539064
3147.073333,137,60.843178
3370.973333,211,62.862704
3262.571111,116,63.910903
2710.004444,310,66.494994
3390.46,194,68.449803
3147.14,136,69.620672
2948.773333,140,70.817439
3226.411111,115,71.878636
2773.193333,108,72.466085
2795.626667,106,73.528598
2971.926667,132,74.780271
3303.693333,114,75.88432
2669.804444,144,77.124007
3379.666667,97,78.096434
-1304.933333,113,79.150622
2761.426667,84,80.056168
3565.326667,89,80.541904
3166.426667,101,81.528273
3393.771111,112,82.614357
-1306.566667,101,83.623916
3233.684444,103,84.630225
-1504.766667,112,85.259545
3568.593333,100,86.245908
2569.64,102,87.264219
2961.017778,99,88.243566
3140.473333,100,89.218958
3475.137778,86,89.691695
3540.973333,100,90.681078
2858.76,102,91.733239
3338.24,86,92.209991
-1709.633333,92,93.155477
2441.006667,90,94.065039
3352.14,85,94.958615
2576.733333,90,95.4653
3012.017778,107,96.551357
3166.893333,108,97.571631
3412.837778,84,98.471259
3140.306667,101,99.074614
3166.826667,137,100.282419
-1506.0,102,101.319613
3139.44,101,102.338886
3341.306667,103,103.356193
3138.64,101,104.42431
2940.793333,87,104.935943
3007.46,143,106.221534
3171.126667,114,107.277682
2449.484444,101,108.295961
3542.006667,112,109.350142
3141.673333,123,110.499076
3579.393333,141,111.706877
2289.711111,143,112.94952
3548.04,130,114.151334
3166.526667,101,115.163601
2624.14,389,118.676244
2669.4,109,119.722414
2019.64,394,123.20813
1698.417778,327,125.874004
-1304.366667,114,126.921205
2933.96,744,133.655234
2297.604444,187,135.591204
2563.993333,111,136.659322
-1707.966667,105,137.22481
3495.551111,100,138.245082
3201.126667,107,139.516684
3343.773333,106,140.705506
3539.64,91,141.822518
3352.306667,142,143.048282
3404.251111,124,144.177223
-1307.3,114,144.876355
3339.673333,98,145.941537
3082.177778,109,146.95779
2795.293333,199,148.906615
2943.873333,123,150.029617
2548.906667,126,151.162569
3415.537778,100,151.71112
2869.484444,173,153.647906
3059.26,913,162.263915
-1453.066667,374,165.765511
3080.06,154,167.059128
2379.773333,150,168.334717
2899.306667,122,169.476592
-2104.666667,127,170.656439
3207.277778,105,171.854236
2995.166667,115,173.017129
3478.244444,137,174.304718
3070.304444,228,176.672353
3572.493333,123,177.811311
3221.171111,137,179.039027
2605.284444,203,180.64673
2940.406667,114,181.776711
3544.906667,120,182.932618
2760.604444,137,184.178289
3342.173333,113,185.318242
2426.306667,140,186.606798
3139.84,102,187.668957
2714.284444,155,189.070223
3582.76,158,190.705875
-1111.733333,100,192.00736
3381.666667,122,193.3388
3368.884444,165,194.973431
2553.56,112,196.1573
2769.293333,127,197.352098
2604.673333,335,200.585462
2957.906667,174,201.987678
3554.806667,190,203.914528
-1508.233333,123,205.110368
3577.106667,293,207.766265
3548.606667,142,208.992951
3542.806667,113,210.10701
3342.077778,135,211.298822
2661.806667,708,217.862241
-1848.8,375,221.413747
3498.906667,1000,230.350855
3885.26,1000,239.501419
3485.971111,416,243.142826
3345.34,145,244.842318
2598.117778,309,247.410451
3433.011111,195,248.934378
3398.473333,482,253.667688
3535.76,1000,264.716385
-1018.033333,675,270.874922
2952.526667,147,272.147554
3583.826667,180,274.012533
3559.173333,214,276.141841
2713.884444,1000,284.913419
4659.66,1000,294.057945
4209.5,1000,303.177604
2604.64,550,308.000691
1628.893333,515,312.593431
427.066667,1000,321.910597
3622.46,617,327.682779
3547.973333,182,329.131917
2955.173333,228,331.242264
3350.573333,184,333.110236
3578.66,172,334.504546
3144.273333,151,335.757159
3084.726667,335,338.879811
3079.577778,157,340.16142
3146.673333,161,341.489833
2646.484444,361,344.859842
3047.984444,96,345.816285
3573.26,153,347.134759
-1294.566667,189,348.73149
3546.673333,132,349.963198
3143.24,118,351.181947
2924.093333,129,352.408662
3217.873333,387,355.896337
-3339.966667,812,363.57082
3573.693333,129,364.718751
2990.271111,111,365.758971
-1298.933333,140,366.969769
2124.593333,142,368.192501
3541.273333,102,369.199773
3143.973333,111,370.293848
3555.206667,164,371.643242
3551.573333,147,372.885921
3544.906667,119,373.992959
3592.26,188,375.446102
2397.8,124,376.545137
2314.206667,217,378.775209
3142.473333,111,379.979955
2597.793333,217,382.080339
2819.44,401,385.570024
3160.471111,201,387.14681
1411.584444,122,388.239923
3567.026667,104,389.27113
3565.273333,185,390.702305
3339.273333,103,391.696647
3310.826667,139,392.89747
3169.126667,117,393.956604
3548.84,137,395.161383
3138.373333,93,396.089901
3545.073333,124,397.189989
3492.473333,123,398.301171
2962.273333,182,399.750325
2674.96,182,401.619337
3329.126667,110,402.685487
3388.833333,151,403.999937
2546.906667,756,411.024158
3554.371111,1000,419.985555
4383.46,1000,428.710672
2416.173333,600,434.117218
3407.217778,157,435.43572
3491.406667,135,436.632428
3147.573333,158,438.520397
2567.873333,213,440.322565
3116.193333,213,442.356127
3153.206667,179,443.813232
3007.684444,212,445.859835
2842.64,236,447.998235
3393.14,398,451.444072
3175.306667,452,455.161273
3560.306667,221,457.171794
3116.977778,276,459.493587
2699.066667,578,464.867187
4552.393333,1000,474.060834
4322.226667,1000,482.919472
3012.371111,177,484.338679
2643.66,488,488.650139
3132.033333,150,489.876905
3071.626667,115,490.928713
3540.373333,102,491.906128
3300.426667,96,492.419133
3111.266667,103,493.380013
3549.006667,134,494.530096
2944.04,119,495.573573
3024.006667,103,496.559862
3547.773333,127,497.852407
3025.273333,103,498.8657
2470.911111,115,499.941823
2798.984444,115,500.979809
2050.917778,103,501.52948
2773.973333,132,502.646618
-1308.866667,118,503.703444
3544.74,135,504.835392
3213.126667,285,507.651922
2990.084444,115,508.258336
3382.96,195,510.128337
3542.706667,116,511.181525
3351.24,166,512.483568
3399.184444,111,513.526942
3242.217778,149,514.750671
3090.806667,141,515.921542
3215.54,471,520.126366
-3013.233333,619,525.694998
3594.873333,475,530.155295
-1601.766667,955,538.205841
3544.173333,178,539.561224
3557.973333,189,541.415233
3568.293333,108,542.425537
3119.133333,91,542.912901
3138.24,91,543.827449
3343.873333,112,544.871658
2735.606667,95,545.80413
3344.973333,115,546.841432
1925.017778,93,547.327133
3549.406667,142,548.508272
3548.473333,123,549.572495
3543.873333,111,550.609653
2918.926667,99,551.556295
3142.906667,117,552.60455
3184.966667,122,553.6847
3588.193333,214,555.660455
2996.4,255,558.045006
2931.526667,126,559.163052
3460.417778,163,560.459587
2743.24,128,561.547642
3362.173333,275,563.837521
2733.066667,173,565.166999
2818.706667,433,569.273705
2210.24,380,572.655571
3153.84,179,574.054823
3575.26,148,575.278558
3054.06,192,577.177612
-1707.433333,129,578.286733
3705.006667,1000,587.03898
3371.04,296,589.594181
-1288.433333,221,591.587858
3321.206667,1000,599.784769
1872.773333,422,603.680914
4268.94,1000,612.285611
1842.751111,356,615.005544
2033.773333,520,619.709923
3038.706667,518,624.199583
3525.433333,172,625.945115
2245.44,562,630.616763
1570.84,1000,639.363163
3649.373333,831,646.323802
3089.56,777,653.730159
2692.804444,222,655.349793
3550.006667,146,656.552717
-2268.933333,267,659.354219
2990.551111,105,659.964614
3544.973333,119,661.024789
3188.073333,267,663.340595
3530.337778,132,664.473541
2979.493333,167,666.285756
3548.373333,137,667.446592
2858.106667,583,672.353625
2119.473333,273,674.688383
3053.817778,116,675.762545
3368.893333,122,676.86958
3368.34,209,678.994907
939.066667,486,683.273185
3140.94,104,684.242137
3378.6,95,684.731798
3576.406667,232,686.806325
3539.14,91,687.718879
2767.373333,216,689.280633
2891.5,266,691.945435
3548.106667,126,693.032604
3194.326667,186,694.424807
3556.273333,154,695.666525
3546.04,113,696.67676
3549.906667,137,697.811725
2761.406667,189,699.668749
3551.306667,137,700.804849
3540.34,98,701.327449
2003.077778,657,707.492988
2810.984444,175,709.062819
3147.806667,141,710.231695
3369.206667,213,712.183043
3542.706667,111,713.183401
3540.873333,102,713.710998
3375.326667,144,715.320082
3567.426667,105,715.873602
2875.217778,198,717.766589
3545.973333,129,718.860662
3140.54,110,719.872045
3539.94,100,720.829279
3155.373333,159,722.082959
3382.817778,187,723.500173
2973.573333,231,725.573594
3083.084444,346,728.660341
2897.073333,327,731.244433
3242.806667,560,736.348911
3075.693333,179,737.883775
3239.626667,377,741.193933
2816.684444,331,744.207576
1563.493333,1000,752.400188
3222.906667,567,757.54426
1658.173333,712,763.537246
4301.64,1000,772.599434
2998.773333,354,775.773961
2322.484444,284,778.106431
3176.74,610,783.439946
3898.673333,1000,792.152097
2948.873333,191,793.575028
1944.137778,722,800.129697
3166.706667,226,802.172274
